name	street_address	postal_code	opening_date	latitude	longitude
13739 N CENTRAL EXPRESSWAY	13739 N CENTRAL EXPRESSWAY	75243	1995 	32.9122	-96.7369
1701 S KANSAS AVE	1701 S KANSAS AVE	67114	1995 	38.0517	-97.323
1600 BECHTLE AVENUE	1600 BECHTLE AVENUE	45504	1995 	39.9418	-83.837
1920 SO. STEPEHENSON AVE	1920 SO. STEPEHENSON AVE	49801	1995 	45.8718	-87.9972
217 GARRISONVILLE ROAD	217 GARRISONVILLE ROAD	22554	1995 	38.4604	-77.4327
1505 MAIN STREET	1505 MAIN STREET	45013	1995 	39.4092	-84.6032
100 EAST STREET ROAD	100 EAST STREET ROAD	18974	1996 	40.2112	-75.0887
970 TORRINGFORD STREET	970 TORRINGFORD STREET	06790	1996 	41.8142	-73.1146
465 BRIDGEPORT AVENUE	465 BRIDGEPORT AVENUE	06484	1996 	41.3057	-73.1285
50739 VALLEY PLAZA DRIVE	50739 VALLEY PLAZA DRIVE	43950	1996 	40.0867	-80.9083
3930 44TH AVENUE DRIVE	3930 44TH AVENUE DRIVE	61265	1996 	41.4903	-90.5001
651 MAIN STREET	651 MAIN STREET	19438	1996 	40.2704	-75.3857
13487 CAMINO CANADA	13487 CAMINO CANADA	92021	1996 	32.8201	-116.912
25450 THE OLD ROAD	25450 THE OLD ROAD	91381	1996 	34.3847	-118.587
250 SUMMIT PARK DR	250 SUMMIT PARK DR	15275	1996 	40.4551	-80.1838
4807 VALLEY VIEW BLVD N.W.	4807 VALLEY VIEW BLVD N.W.	24012	1996 	37.3058	-79.9277
6797 STATE HWY 303 N.E.	6797 STATE HWY 303 N.E.	98311	1996 	47.6297	-122.635
901 ROW RIVER RD	901 ROW RIVER RD	97424	1996 	43.7718	-123.057
3497 BETHEL ROAD SE	3497 BETHEL ROAD SE	98366	1996 	47.5359	-122.599
155 WATERFORD PARKWAY NO.	155 WATERFORD PARKWAY NO.	06385	1996 	41.3432	-72.1458
20251 HWY 18	20251 HWY 18	92307	1996 	34.5386	-117.177
2034 LINCOLN HWY EAST	2034 LINCOLN HWY EAST	17602	1996 	40.0327	-76.2758
300 COLONY PLACE	300 COLONY PLACE	02360	1996 	41.8898	-70.6238
550 OLD FRANKLIN TURNPIKE	550 OLD FRANKLIN TURNPIKE	24151	1996 	36.98	-79.8803
2801 NORTHWESTERN AVE	2801 NORTHWESTERN AVE	47906	1996 	40.461	-86.9366
